Property ID in AVL packet|Property Name|Bytes|Type|Min|Max|Multiplier|Units|Description|HW Support|Parameter Group
239|Ignition|1|Unsigned|0|1|-|-|\n0 – Ignition Off\n\n1 – Ignition On|\n\nFMBXXX\n|Permanent I/O Elements
240|Movement|1|Unsigned|0|1|-|-|\n0 – Movement Off\n\n1 – Movement On|\n\nFMBXXX\n|Permanent I/O elements
80|Data Mode|1|Unsigned|0|5|-|-|\n0 – Home On Stop\n\n1 – Home On Moving\n\n2 – Roaming On Stop\n\n3 – Roaming On Moving\n\n4 – Unknown On Stop\n\n5 – Unknown On Moving|\n\nFMBXXX\n|Permanent I/O Elements
21|GSM Signal|1|Unsigned|0|5|-|-|\nValue in range 1-5 Explanation|\n\nFMBXXX\n\n|Permanent I/O Elements
200|Sleep Mode|1|Unsigned|0|4|-|-|\n0 - No Sleep\n\n1 – GPS Sleep\n\n2 – Deep Sleep\n\n3 – Online Sleep\n\n4 - Ultra Sleep|\n\nFMBXXX\n\n|Permanent I/O Elements
69|GNSS Status|1|Unsigned|0|3|-|-|\n0 - GNSS OFF\n\n1 – GNSS ON with fix\n\n2 - GNSS ON without fix\n\n3 - GNSS sleep\n\n4 - GNSS ON with fix, invalid data|\n\nFMBXXX\n\n|Permanent I/O Elements
181|GNSS PDOP|2|Unsigned|0|500|0.1||Coefficient, calculation formula|\n\nFMBXXX\n\n|Permanent I/O Elements
182|GNSS HDOP|2|Unsigned|0|500|0.1||Coefficient, calculation formula|\n\nFMBXXX\n\n|Permanent I/O Elements
66|External Voltage|2|Unsigned|0|65535|0.001|V|\nVoltage|\n\nFMBXXX\n\n|Permanent I/O elements
24|Speed|2|Unsigned|0|350|-|km/h|\nGNSS Speed|\n\nFMBXXX\n\n|Permanent I/O elements
205|GSM Cell ID|2|Unsigned|0|65535|-|-|\nGSM base station ID|\n\nFMBXXX\n\n|Permanent I/O elements
206|GSM Area Code|2|Unsigned|0|65535|-|-|\nLocation Area code (LAC), it depends on GSM operator. It provides unique number which assigned to a set of base GSM stations.|\n\nFMBXXX\n\n|Permanent I/O elements
67|Battery Voltage|2|Unsigned|0|65535|0.001|V|\nVoltage|\n\nFMBXXX\n\n|Permanent I/O elements
68|Battery Current|2|Unsigned|0|65535|0.001|A|\nCurrent|\n\nFMBXXX\n\n|Permanent I/O elements
241|Active GSM Operator|4|Unsigned|0|4294967295|-|-|\nCurrently used GSM Operator code|\n\nFMBXXX\n\n|Permanent I/O elements
199|Trip Odometer|4|Unsigned|0|2147483647|-|m|\nTrip Odometer value|\n\nFMBXXX\n\n|Permanent I/O elements
16|Total Odometer|4|Unsigned|0|2147483647|-|-|\nTotal Odometer value in meters|\n\nFMBXXX\n\n|Permanent I/O elements
1|Digital Input 1|1|Unsigned|0|1|-|-|\nLogic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
9|Analog Input 1|2|Unsigned|0|65535|0.001|V|\nVoltage|\n\nFMBXXX\n\n|\nPermanent I/O elements
179|Digital Output 1|1|Unsigned|0|1|-|-|\nLogic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
12|Fuel Used GPS|4|Unsigned|0|4294967295|0.001|l|\nFuel Used|\n\nFMBXXX\n\n|Permanent I/O elements
13|Fuel Rate GPS|2|Unsigned|0|32767|0.01|l/100km|\nAverage Fuel Use|\n\nFMBXXX\n\n|Permanent I/O elements
17|Axis X|2|Signed|-8000|8000|-|mG|\nX axis value|\n\nFMBXXX\n\n|Permanent I/O elements
18|Axis Y|2|Signed|-8000|8000|-|mG|\nY axis value|\n\nFMBXXX\n\n|Permanent I/O elements
19|Axis Z|2|Signed|-8000|8000|-|mG|\nZ axis value|\n\nFMBXXX\n\n|Permanent I/O elements
11|ICCID1|8|Unsigned|0|0xffffffffffffffff|-|-|\nValue of SIM ICCID, MSB|\n\nFMBXXX\n\n|Permanent I/O elements
10|SD Status|1|Unsigned|0|1|-|-|\n0 - not present\n1 - present|\n\nFMBXXX\n\n|Permanent I/O elements
2|Digital Input 2|1|Unsigned|0|1|-|-|\nLogic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
3|Digital Input 3|1|Unsigned|0|1|-|-|\nLogic: 0/1|\n\nFMBXXX\n\n|Permanent I/O elements
6|Analog Input 2|2|Unsigned|0|65535|0.001|V|\nVoltage|\n\nFMBXXX\n\n|Permanent I/O elements
